// Time;RH1;Temp1
1 lug 2025, 16:00:00;58,71;29,62
1 lug 2025, 17:00:00;60,04;29,63
1 lug 2025, 18:00:00;60,45;29,60
1 lug 2025, 19:00:00;59,85;29,37
1 lug 2025, 20:00:00;59,90;29,27
1 lug 2025, 21:00:00;59,82;29,21
1 lug 2025, 22:00:00;59,98;29,18
1 lug 2025, 23:00:00;60,10;29,16
2 lug 2025, 00:00:00;60,06;29,15
2 lug 2025, 01:00:00;59,99;29,15
2 lug 2025, 02:00:00;59,80;29,12
2 lug 2025, 03:00:00;59,17;29,06
2 lug 2025, 04:00:00;58,52;28,98
2 lug 2025, 05:00:00;57,88;28,91
2 lug 2025, 06:00:00;53,62;28,83
2 lug 2025, 07:00:00;50,29;28,72
2 lug 2025, 08:00:00;50,54;28,72
2 lug 2025, 09:00:00;51,67;28,78
2 lug 2025, 10:00:00;52,77;28,93
2 lug 2025, 11:00:00;53,41;29,07
2 lug 2025, 12:00:00;53,99;29,17
2 lug 2025, 13:00:00;54,01;29,29
2 lug 2025, 14:00:00;53,83;29,36
2 lug 2025, 15:00:00;54,17;29,55
2 lug 2025, 16:00:00;54,29;29,78
2 lug 2025, 17:00:00;53,48;29,91
2 lug 2025, 18:00:00;53,30;29,89
2 lug 2025, 19:00:00;53,74;29,65
2 lug 2025, 20:00:00;54,17;29,52
2 lug 2025, 21:00:00;54,48;29,44
2 lug 2025, 22:00:00;54,68;29,38
2 lug 2025, 23:00:00;54,87;29,35
3 lug 2025, 00:00:00;55,14;29,29
3 lug 2025, 01:00:00;55,37;29,26
3 lug 2025, 02:00:00;55,56;29,23
3 lug 2025, 03:00:00;55,68;29,22
3 lug 2025, 04:00:00;55,83;29,20
3 lug 2025, 05:00:00;55,89;29,17
3 lug 2025, 06:00:00;55,93;29,17
3 lug 2025, 07:00:00;54,94;29,14
3 lug 2025, 08:00:00;54,23;29,09
3 lug 2025, 09:00:00;55,20;29,18
3 lug 2025, 10:00:00;57,84;29,27
3 lug 2025, 11:00:00;58,10;29,36
